Region	Parent company / owner	Segment(s)	Category	Status	Notes
North America	Independent	Satellite; Aviation; Marine	Specialised (military / satellite / mobility)	Active	Iridium and Inmarsat router terminals
Europe	Bouygues Telecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	French ISP branded gateway
North America	Independent (NASDAQ: AVGO)	Router and switch silicon	Data centre / disaggregated / silicon	Active	The dominant silicon behind most consumer and DC routers
North America	Broadcom (2017)	Legacy SP and DC	Legacy / acquired	Brand retired	IP networking sold on to Extreme and Arris
Europe	BT Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	UK's most-deployed home router line
Asia-Pacific	Melco Holdings	Consumer Wi-Fi; NAS	Consumer / retail	Active	Leading Japanese retail Wi-Fi router brand (AirStation)
Russia & CIS	Rostec (state)	Enterprise; SP	Enterprise / SD-WAN	Active	State-backed import-substitution networking vendor
Asia-Pacific	ByteDance	Cloud DC in-house	Data centre / disaggregated / silicon	Active	Custom whitebox datacentre networking
Asia-Pacific	Government of India	R&D; SP routing	Other	Active	State telecom R&D body designing indigenous routers
North America	Split 2001	Legacy enterprise	Legacy / acquired	Defunct	Split into Enterasys, Riverstone, Aprisma and GlobalNetwork
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	Industrial cellular router manufacturer
North America	Independent	Telematics; Vehicle	Specialised (military / satellite / mobility)	Active (distressed)	Telematics-focused cellular gateways
North America	Independent (NYSE: CALX)	SP access; ISP CPE	ISP CPE / broadband gateway	Active	Broadband systems and GigaSpire gateways for US ISPs
North America	Independent (NASDAQ: CMBM)	WISP; Enterprise	Enterprise / SD-WAN	Active (distressed)	Fixed wireless plus cnMatrix/cnPilot routing gear
North America	Liquidated 2024	BNG; CCAP; FWA	Cellular / 5G / mobile	Defunct	Chapter 11 in April 2024; cable assets to CommScope/Vecima, NetComm to DZS
North America	Wound down 2006	Legacy SP core	Legacy / acquired	Defunct	Flow-based routing startup
Middle East & Africa	Independent	SD-WAN; SASE	Enterprise / SD-WAN	Active	Cloud-native SASE platform with its own PoP backbone
North America	Independent (NYSE: CLS)	Whitebox ODM	ODM / white-label	Active	Datacentre and SP whitebox hardware
Asia-Pacific	Independent	Whitebox silicon and switch-routers	Data centre / disaggregated / silicon	Active	Merchant-silicon whitebox vendor
Asia-Pacific	Independent	SMB; Industrial; Cellular	Industrial / IoT	Active	FutureNet LTE/5G branch and industrial routers
Middle East & Africa	Independent	Microwave backhaul (adjacent)	Other	Active	Wireless backhaul with integrated IP routing
Middle East & Africa	Independent (NASDAQ: CHKP)	Enterprise branch; SD-WAN	Enterprise / SD-WAN	Active	Quantum gateways with SD-WAN routing
North America	Wound down c.2006	Legacy SP core	Legacy / acquired	Defunct	Optical-switch-fabric terabit router startup
Asia-Pacific	China Mobile	ISP CPE	ISP CPE / broadband gateway	Brand-only	Carrier-branded gateways from domestic ODMs
Asia-Pacific	China Unicom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Carrier-branded gateways from domestic ODMs
North America	Independent (NYSE: CIEN)	Packet-optical; SP routing	Service provider	Active	5000 series routers plus WaveLogic optical
North America	Cisco Systems	Industrial; Utility/SCADA	Industrial / IoT	Active	IR1101, IR1800, IR8340 rugged routers
North America	Cisco Systems	SD-WAN; Enterprise branch	Enterprise / SD-WAN	Active	Cloud-managed MX security/SD-WAN appliances; acquired 2012
North America	Independent (NASDAQ: CSCO)	Enterprise branch; SP edge; SP core; Data centre; Industrial	Industrial / IoT	Active	Largest full-line router vendor; ISR, ASR, NCS, Catalyst 8000, 8000 series
North America	Cisco Systems	SD-WAN	Enterprise / SD-WAN	Brand retired	Acquired 2017; now sold as Cisco Catalyst SD-WAN
North America	Cloud Software Group	SD-WAN	Enterprise / SD-WAN	Active	Ex-CloudBridge enterprise WAN edge
Latin America	América Móvil	ISP CPE	ISP CPE / broadband gateway	Brand-only	Regional operator branded router/ONT
North America	Palo Alto Networks	SD-WAN	Enterprise / SD-WAN	Brand retired	Became Prisma SD-WAN
Europe	One Equity Partners (as Satcom Global/Cobham)	Marine; Aviation; Satellite	Specialised (military / satellite / mobility)	Active	SAILOR and EXPLORER satcom routers
North America	HP (2008)	Legacy enterprise WLAN	Legacy / acquired	Defunct	Wireless networking vendor
Asia-Pacific	Independent	Prosumer Wi-Fi	SMB / prosumer	Active	Chinese Wi-Fi hardware export brand
North America	Independent (NASDAQ: COMM)	ISP CPE; Cable access	ISP CPE / broadband gateway	Active	Owns Arris; major cable gateway and CPE supplier
Asia-Pacific	Compal Electronics	ODM / ISP CPE	ODM / white-label	Active	Cable/DSL CPE ODM arm
Asia-Pacific	Independent	Prosumer; Wi-Fi modules; Industrial	Industrial / IoT	Active (niche)	Singapore-based Wi-Fi hardware brand
Asia-Pacific	Independent	DSL/Fiber CPE	ISP CPE / broadband gateway	Active	Taiwanese DSL/CPE brand, common in US ISP channels
Europe	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Benelux value networking brand
Asia-Pacific	Independent	IoT; Industrial	Industrial / IoT	Active	Edge computing and IoT gateway routers
Asia-Pacific	Converge ICT Solutions	ISP CPE	ISP CPE / broadband gateway	Brand-only	Philippine ISP branded fibre gateway
Asia-Pacific	Independent	Enterprise; SMB	Enterprise / SD-WAN	Active	Indian VoIP and networking equipment maker
Asia-Pacific	Allied Telesis (brand)	Consumer Wi-Fi	Consumer / retail	Legacy	Legacy Japanese consumer networking brand
Europe	Infinera / Nokia	Optical transport	Service provider	Brand retired	Ex-Nokia Siemens unit, folded into Infinera 2018
North America	Cisco (2004)	Legacy routing technology	Legacy / acquired	Defunct	Router technology startup
Asia-Pacific	Independent	ISP CPE; STB	ISP CPE / broadband gateway	Active (niche)	Chinese gateway/set-top maker
Europe	Deutsche Telekom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Greek telco branded router
Asia-Pacific	D-Link	Mesh	Consumer / retail	Active	Sub-brand: D-Link's mesh Wi-Fi line
North America	Cox Communications	ISP CPE; Mesh	ISP CPE / broadband gateway	Brand-only	Cox branded mesh gateway system
North America	Ericsson	5G; Cellular 5G; Public safety; Vehicle; Wireless WAN branch	Specialised (military / satellite / mobility)	Active	Leading 4G/5G branch and public-safety routers; Ericsson-owned since 2020
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Newer Chinese budget Wi-Fi brand, strong on Amazon
North America	Nvidia	Whitebox NOS	Data centre / disaggregated / silicon	Brand absorbed	Cumulus Linux; acquired by Nvidia 2020
North America	Curtiss-Wright (NYSE: CW)	Military; Vehicle	Specialised (military / satellite / mobility)	Active	DuraMAR rugged mobile access routers
North America	Ciena (2015)	Legacy packet-optical	Legacy / acquired	Brand retired	Packet-optical and SDN vendor
Asia-Pacific	Independent	ODM	ODM / white-label	Active	Long-time ODM for Linksys, Netgear and others
Asia-Pacific	Independent (TWSE: 2332)	Consumer Wi-Fi; Mesh; DSL/Fiber CPE; SMB; 5G	ISP CPE / broadband gateway	Active	Major Taiwanese consumer + SMB networking brand
Asia-Pacific	D-Link Corporation (Taiwan)	Regional consumer / SMB	SMB / prosumer	Active	Listed Indian JV assembling and distributing D-Link products
North America	Linux Foundation Networking (originated at AT&T)	Open NOS	Data centre / disaggregated / silicon	Active	AT&T-originated disaggregated NOS
Asia-Pacific	Independent	SP access	Service provider	Active	Korean access networking vendor
Latin America	Independent	SP; Enterprise; OLT	Enterprise / SD-WAN	Active	Major Brazilian router and access equipment maker
Asia-Pacific	Independent	ODM; ISP CPE	ODM / white-label	Active	Korean CPE maker for KT, SK Broadband and export
Europe	NewMedia-NET GmbH	Open-source firmware	Enterprise / SD-WAN	Active	Long-running third-party router firmware
Europe	Independent	Virtual router; SMB firewall	Enterprise / SD-WAN	Active	Open-source firewall/router distribution and appliances
Asia-Pacific	TP-Link	Mesh	Consumer / retail	Active	Sub-brand: TP-Link's whole-home mesh Wi-Fi line
North America	Dell Technologies	Data centre; Campus	Data centre / disaggregated / silicon	Active	PowerSwitch line, largely whitebox-friendly
Asia-Pacific	Delta Electronics	Whitebox ODM	ODM / white-label	Active	ODM hardware partner for disaggregated routing
Europe	Deutsche Telekom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Germany's biggest ISP router line, built by Arcadyan and others
Europe	Digi Communications	ISP CPE	ISP CPE / broadband gateway	Brand-only	Romanian ISP branded router/ONT
North America	Independent (NASDAQ: DGII)	Branch; Cellular; Industrial; IoT	Industrial / IoT	Active	TransPort and Digi IX/EX routers; owns Opengear
Asia-Pacific	Smartlink Network Systems	Consumer; SMB; FTTH CPE	ISP CPE / broadband gateway	Active	Long-running Indian networking brand
Asia-Pacific	Digital China Group	Enterprise; SP	Enterprise / SD-WAN	Active	DCN-branded routers and switches
Asia-Pacific	Neusoft-linked	Enterprise security routing	Enterprise / SD-WAN	Active	Security-plus-routing convergence vendor
Asia-Pacific	Independent	LoRaWAN; IoT	Industrial / IoT	Active	LoRaWAN gateways and edge IoT routers
Asia-Pacific	Independent	SMB; SOHO; DSL/Fiber CPE	ISP CPE / broadband gateway	Active	Vigor series; strong VPN/multi-WAN following in EU and SE Asia
Middle East & Africa	Independent	SP core; Disaggregated routing	Service provider	Active	Network Cloud DDC used by AT&T and others
Middle East & Africa	EITC (du)	ISP CPE	ISP CPE / broadband gateway	Brand-only	UAE telco branded home gateways
North America	Independent	SP access; BNG; FWA CPE	Cellular / 5G / mobile	Active	DASAN + Zhone merger; bought NetComm Wireless out of Casa's bankruptcy in 2024
Middle East & Africa	e& (Etisalat Group)	ISP CPE	ISP CPE / broadband gateway	Brand-only	UAE telco branded home gateways
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	Rugged mobile and industrial cellular routers
Europe	Independent	Utility/SCADA	Industrial / IoT	Active	Grid automation communication devices
Middle East & Africa	Ribbon Communications	Optical; Packet transport	Service provider	Brand retired	Merged into Ribbon c.2020
Asia-Pacific	Accton Technology	Whitebox switch-routers	Data centre / disaggregated / silicon	Active	Leading open networking hardware brand
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Taiwanese budget Wi-Fi brand
North America	Amazon	Mesh	Consumer / retail	Active	Mesh Wi-Fi pioneer; acquired by Amazon 2019; large ISP channel
North America	Siemens (2001)	Legacy DSL CPE	Legacy / acquired	Defunct	SpeedStream DSL CPE
Europe	eir	ISP CPE	ISP CPE / broadband gateway	Brand-only	Irish incumbent branded router
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Japanese peripherals brand, budget/mid routers; owns Logitec
Russia & CIS	Independent	Enterprise; SP access; ISP CPE; Industrial	ISP CPE / broadband gateway	Active	Russia's broadest domestic networking line
North America	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Budget US networking brand
North America	Independent	Cellular; Industrial	Industrial / IoT	Active (niche)	US cellular and VSAT router maker
Asia-Pacific	Independent (Senao Networks)	Prosumer; SMB; Wi-Fi	SMB / prosumer	Active	Spans consumer to SMB/managed Wi-Fi
North America	Extreme Networks (2013)	Legacy enterprise	Legacy / acquired	Acquired	Cabletron spinoff
Europe	Independent (NASDAQ: ERIC)	Mobile transport; Enterprise WWAN	Service provider	Active	Router 6000 mobile transport line; exited SmartEdge IP routers c.2017
Europe	Independent (BIT: ETH)	IoT edge	Industrial / IoT	Active	ReliaGATE IoT edge gateways
Europe	HMS Networks	Industrial; Remote access	Industrial / IoT	Active	VPN remote-access industrial routers
North America	Independent	Military; Embedded	Specialised (military / satellite / mobility)	Active	XPand rugged embedded routers and switches
North America	Independent (NASDAQ: EXTR)	Enterprise campus/branch; SD-WAN	Enterprise / SD-WAN	Active	Absorbed Enterasys, Avaya Networking and Brocade's campus/DC lines
Europe	WithSecure / F-Secure	Security router	Consumer / retail	Defunct	Security router reached end-of-sale
Asia-Pacific	TP-Link	Consumer Wi-Fi	Consumer / retail	Active	China-domestic budget router sub-brand
Europe	Swisscom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Italian ISP branded gateway
North America	Independent	SD-WAN	Enterprise / SD-WAN	Active	Early SD-WAN/WAN-bonding pioneer, still independent
Asia-Pacific	China Information & Communication Technologies Group (state)	SP edge; Optical; ISP CPE	ISP CPE / broadband gateway	Active	Optical transport plus IP routing and ONT CPE
North America	Independent	Security router	Consumer / retail	Active (niche)	Smart firewall/router appliance
North America	Dell (2011)	Legacy DC routing	Legacy / acquired	Brand retired	Became Dell Networking
North America	Independent (NASDAQ: FTNT)	SD-WAN; Enterprise branch; SASE; Consumer (Linksys)	Enterprise / SD-WAN	Active	FortiGate Secure SD-WAN; also now owns Linksys outright
North America	Brocade (2008), then Broadcom	Legacy SP and enterprise	Legacy / acquired	Defunct	NetIron and BigIron routers
Asia-Pacific	Independent (SZSE: 300810)	Cellular; Industrial	Industrial / IoT	Active	Very broad 4G/5G industrial router range
Asia-Pacific	Hon Hai Precision	Whitebox ODM	ODM / white-label	Active	ODM for hyperscaler routers and switches
North America	Independent (NASDAQ: FKWL)	4G/5G CPE; Hotspots	Cellular / 5G / mobile	Active	Carrier-branded hotspot and CPE ODM
Europe	Iliad / Free	ISP CPE	ISP CPE / broadband gateway	Active	French ISP's self-designed box, ODM manufactured
Global / multi-country	Linux Foundation	Open routing stack	Other	Active	Underpins many commercial NOS products
Asia-Pacific	Independent	SP edge; Optical	Service provider	Active	1FINITY packet-optical and routing platforms
Asia-Pacific	Independent	SP access; Optical	Service provider	Active	Access and optical networking; owns Brazil's Furukawa Parks
Asia-Pacific	Independent	Marine	Specialised (military / satellite / mobility)	Active	Marine electronics with satellite router integration
Europe	MPL AG (Switzerland)	Industrial; Utility/SCADA	Industrial / IoT	Active	Secure Linux-based industrial routers
North America	Community	Open-source firmware	Enterprise / SD-WAN	Active (niche)	OpenWrt-derived firmware focused on bandwidth control
North America	Belden	Industrial; Utility/SCADA	Industrial / IoT	Brand absorbed	Substation-grade rugged routers under Belden
North America	GE Vernova	Utility/SCADA; Industrial	Industrial / IoT	Active	Licensed and unlicensed radio routers for grid telemetry
Asia-Pacific	Independent	ODM / ISP CPE; Consumer	ODM / white-label	Active	Router/CPE ODM with some own-brand sales
North America	General Dynamics	Military	Specialised (military / satellite / mobility)	Active	TACLANE and tactical secure network routing
North America	Motorola (2000)	Legacy cable CPE	ISP CPE / broadband gateway	Defunct	Cable modem and set-top pioneer
Europe	Independent	ISP CPE; FTTH	ISP CPE / broadband gateway	Active	FTTH CPE and residential gateways, with Indian manufacturing
Europe	Genexis	ISP CPE	ISP CPE / broadband gateway	Active	Acquired parts of the Nordic CPE market
North America	Semtech (2012)	Networking silicon	Data centre / disaggregated / silicon	Brand retired	Analog and video ICs used in networking gear
Europe	Independent	DSL/Fiber CPE; Smart home	ISP CPE / broadband gateway	Active (niche)	German DECT phone maker with routers and gateways
Middle East & Africa	Independent	Satellite	Specialised (military / satellite / mobility)	Active	VSAT satellite routers and hubs
Asia-Pacific	Independent	Travel; IoT; Prosumer	Industrial / IoT	Active	Leading travel/portable router brand; OpenWrt-based
Asia-Pacific	Globe Telecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Philippine ISP branded home router
Asia-Pacific	UCloudlink	Travel hotspot	Cellular / 5G / mobile	Active	Global travel MiFi/eSIM hotspot brand
North America	Independent (NASDAQ: GOGO)	Aviation	Specialised (military / satellite / mobility)	Active	Inflight connectivity routers and air-to-ground systems
North America	Alphabet	Cloud DC / WAN in-house	Data centre / disaggregated / silicon	Active	Jupiter fabrics and B4 WAN, custom routing software
North America	Alphabet	ISP CPE	ISP CPE / broadband gateway	Brand-only	Google Fiber branded gateway
North America	Alphabet / Google	Mesh	Consumer / retail	Active	Google's current mesh Wi-Fi line (Nest Wifi Pro)
North America	Alphabet / Google	Consumer Wi-Fi	Consumer / retail	Defunct	2015-16 Google-designed router built by TP-Link and Asus
North America	Alphabet / Google	Mesh	Consumer / retail	Discontinued	Predecessor to Nest Wifi
North America	Independent	NaaS / virtual router	Enterprise / SD-WAN	Active	Network Edge service positioned against MPLS routers
Latin America	Independent	FTTH ONT/router	ISP CPE / broadband gateway	Active	Brazilian FTTH ONU/networking brand
North America	Independent	Mesh; Parental controls	Consumer / retail	Active (niche)	Parental-control-focused mesh router brand
Asia-Pacific	New H3C Group	Consumer Wi-Fi	Consumer / retail	Active	Consumer sub-brand of enterprise vendor H3C
Asia-Pacific	Independent	Enterprise; SP	Enterprise / SD-WAN	Active	Korean networking equipment manufacturer
North America	Independent (NASDAQ: HLIT)	vCMTS; BNG-adjacent	Service provider	Active	Virtualised cable access, CMTS/BNG functions
North America	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Long-running budget US Wi-Fi brand
North America	Independent (NYSE: HPE)	Enterprise; SD-WAN; Data centre	Data centre / disaggregated / silicon	Active	Now the umbrella for Aruba and Juniper
Asia-Pacific	Independent	SP routing; Wi-Fi; BharatNet	Consumer / retail	Active	Indian router and Wi-Fi manufacturer, BharatNet supplier
Asia-Pacific	Independent	Optical; SP access	Service provider	Active	Optical transport and access networking
Europe	Belden	Industrial; Rail	Industrial / IoT	Active	EAGLE and BAT industrial secure routers
Asia-Pacific	Independent	SP (legacy routing)	Legacy / acquired	Legacy	Historic IP router lines, now largely exited
Asia-Pacific	Independent	Cable CPE	ISP CPE / broadband gateway	Active	Cable modem-router brand popular with North American ISPs
Europe	Independent (STO: HMS)	Industrial; IoT	Industrial / IoT	Active	Owns the eWON remote-access router brand
Asia-Pacific	Independent	ODM / EMS	ODM / white-label	Active	World's largest EMS; builds CPE for many brands
Asia-Pacific	Independent	Cellular; Utility/SCADA	Industrial / IoT	Active	Routers for utility, oil and gas telemetry
Asia-Pacific	Independent (Shenzhen Zhixin, spun off from Huawei 2020)	Consumer Wi-Fi	Consumer / retail	Active	Honor Router X series
North America	Hewlett Packard Enterprise	Enterprise branch; SD-WAN	Enterprise / SD-WAN	Active	EdgeConnect SD-WAN (ex-Silver Peak); Aruba acquired by HP 2015
Asia-Pacific	Independent (employee-owned)	Consumer Wi-Fi; ISP CPE; 5G CPE	ISP CPE / broadband gateway	Active	WS/AX-series home routers plus the world's largest ISP CPE business
Asia-Pacific	Independent (employee-owned)	SP core; SP edge; Enterprise; Data centre; Industrial	Industrial / IoT	Active	NetEngine, AR, CloudEngine; #1 or #2 in global router revenue
North America	EchoStar	Satellite	Specialised (military / satellite / mobility)	Active	HX and JUPITER satellite routers
Asia-Pacific	Independent	ISP CPE; STB gateways	ISP CPE / broadband gateway	Active	Korean CPE/STB maker supplying operator gateways globally
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Japanese PC-peripheral maker with Wi-Fi router range
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Indian consumer electronics brand with budget routers
Europe	Independent	Industrial; Cellular	Industrial / IoT	Active (niche)	European industrial cellular router maker
Asia-Pacific	Independent	Industrial; IoT	Industrial / IoT	Active	IIoT gateways and routers for automation
North America	Qualcomm (2015)	CPE silicon	Data centre / disaggregated / silicon	Defunct	DSL and VDSL chipsets
