Brand / Entity	Default IP Address(es)	Category	Region / Notes
Encore	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
EnGenius	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
FANTEC	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Franklin Wireless	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	US, mobile hotspot/LTE routers
Gateworks	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Gemtek	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Gigabyte	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
GL.iNet	192.168.8.1	Consumer / SOHO Router & Wi-Fi Brand	
GlobalScale	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Google (Nest Wifi/Google Wifi)	192.168.86.1	Consumer / SOHO Router & Wi-Fi Brand	
Grandstream	192.168.1.1 / 192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
Hawking	192.168.1.200	Consumer / SOHO Router & Wi-Fi Brand	
Hitron	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
HooToo	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
HP	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
iBall	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	India
Inseego	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	US, 5G/LTE mobile & fixed routers
Intelbras	10.0.0.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
JCG	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
KuWFi	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	4G LTE CPE routers
LevelOne	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Linksys	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Luma	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	Mesh Wi-Fi brand (Luma Home)
Medialink	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Mercusys	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Microsoft (broadband devices)	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
MoFi Network	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	US, LTE/5G routers e.g. MOFI4500
Motorola	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
MSI	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
Multilaser	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	Brazil
NetComm	192.168.1.1 / 192.168.20.1	Consumer / SOHO Router & Wi-Fi Brand	
Netgear	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Netis	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Netopia	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Netstar	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Nexxt Solutions	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Open-Mesh / OpenMesh	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
OvisLink	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
PC Engines	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Peplink	192.168.1.1 / 192.168.50.1	Consumer / SOHO Router & Wi-Fi Brand	
PHICOMM	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
Planet	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Planex	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Plume	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	Cloud-managed adaptive mesh Wi-Fi
Positivo Tecnologia	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	Brazil, SmartMesh routers
PRO-NETS	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Prolink	192.168.123.254	Consumer / SOHO Router & Wi-Fi Brand	
Proxim	169.254.128.132	Consumer / SOHO Router & Wi-Fi Brand	
Repotec	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Roku	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Rosewill	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Sagemcom	192.168.1.1 / 192.168.254.254	Consumer / SOHO Router & Wi-Fi Brand	
Samsung	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Securifi	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Senao	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
SerComm	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Siemens (Gigaset/SpeedStream)	192.168.1.1 / 192.168.254.254	Consumer / SOHO Router & Wi-Fi Brand	
Sigma	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Sitecom	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Smartlink Network Systems	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	Parent co. of Digisol, India
SmartRG	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
SMC Networks	192.168.1.1 / 192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
SonicWall	192.168.168.168	Consumer / SOHO Router & Wi-Fi Brand	
SparkLAN	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
SpeedTouch	192.168.1.254 / 10.0.0.138	Consumer / SOHO Router & Wi-Fi Brand	
Sweex	192.168.15.1	Consumer / SOHO Router & Wi-Fi Brand	
Synology	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Syrotech	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	India, GPON ONT/router maker
Tecom	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Telco Systems	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Teltonika	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Tenda	192.168.0.1 / 192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Thomson	192.168.0.1 / 192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
TotoLink	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
TP-Link	192.168.0.1 / 192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
TRENDnet	192.168.1.1 / 192.168.10.1	Consumer / SOHO Router & Wi-Fi Brand	
U.S. Robotics	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Ubee	192.168.100.1	Consumer / SOHO Router & Wi-Fi Brand	
Ubiquiti	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Verizon (router hardware)	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Westell	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Western Digital	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Winstars	192.168.10.1	Consumer / SOHO Router & Wi-Fi Brand	
Xiaomi / Mi	192.168.31.1	Consumer / SOHO Router & Wi-Fi Brand	
Z-Com	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Zcom	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Zoom	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
ZTE	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
Zyxel	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Adtran	192.168.190.1	Enterprise / Carrier Networking Brand	
Aerohive Networks (Extreme)	192.168.1.1	Enterprise / Carrier Networking Brand	
Alaxala Networks	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Alcatel (TCL / Alcatel Mobile)	192.168.1.1	Enterprise / Carrier Networking Brand	4G/5G LinkHub routers
Alcatel-Lucent Enterprise	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Allied Telesis	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Aruba Networks (HPE)	192.168.1.1 (instant APs)	Enterprise / Carrier Networking Brand	
Avaya	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Barracuda Networks	192.168.200.200	Enterprise / Carrier Networking Brand	
BDCOM	192.168.1.1	Enterprise / Carrier Networking Brand	China, GPON OLT/ONU maker
Brocade	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Calix	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Cambium Networks	192.168.1.20	Enterprise / Carrier Networking Brand	
Cisco	192.168.1.1 (SOHO); no fixed default on enterprise IOS gear	Enterprise / Carrier Networking Brand	
Control4 / SnapAV	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Coship	192.168.1.1	Enterprise / Carrier Networking Brand	China, set-top box & ONT maker
Datto Networking	192.168.4.1	Enterprise / Carrier Networking Brand	
Digi International	192.168.2.1	Enterprise / Carrier Networking Brand	
DZS (formerly DASAN Zhone)	No fixed default; carrier-grade ONT/OLT	Enterprise / Carrier Networking Brand	Broadband access/ONT vendor
ECI Telecom	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Enterasys (Extreme)	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Ericsson	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Extreme Networks	192.168.1.1	Enterprise / Carrier Networking Brand	
FiberHome	192.168.1.1	Enterprise / Carrier Networking Brand	
Fortinet	192.168.1.99	Enterprise / Carrier Networking Brand	
H3C	192.168.124.1	Enterprise / Carrier Networking Brand	
HPE Networking	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Huawei	192.168.1.1 / 192.168.3.1 / 192.168.8.1	Enterprise / Carrier Networking Brand	
Juniper Networks	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Meraki (Cisco)	Cloud-managed, no local default IP	Enterprise / Carrier Networking Brand	
Meru Networks	192.168.1.1	Enterprise / Carrier Networking Brand	
Mitsubishi Electric (networks)	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
NEC	192.168.0.1	Enterprise / Carrier Networking Brand	
Nokia (networks)	192.168.1.1 / 192.168.1.254	Enterprise / Carrier Networking Brand	
QNAP Systems	10.0.0.1 (routers)	Enterprise / Carrier Networking Brand	
RAD Data Communications	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Ribbon Communications	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Ruckus Networks / Ruckus Wireless	192.168.0.1	Enterprise / Carrier Networking Brand	
Ruijie Networks	192.168.1.1 / 192.168.110.1	Enterprise / Carrier Networking Brand	
Sierra Wireless	192.168.13.31 / 192.168.1.1	Enterprise / Carrier Networking Brand	
Silver Peak (Aruba)	No fixed default; configured at deployment	Enterprise / Carrier Networking Brand	
Skyworth Digital	192.168.1.1	Enterprise / Carrier Networking Brand	China, ONT/gateway maker
VSOL	192.168.1.1	Enterprise / Carrier Networking Brand	China, GPON ONU maker
Xirrus	192.168.1.1	Enterprise / Carrier Networking Brand	
Yamaha (routers, Japan)	192.168.100.1	Enterprise / Carrier Networking Brand	
DD-WRT	192.168.1.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
MikroTik RouterOS	192.168.88.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
OpenWrt	192.168.1.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
OPNsense	192.168.1.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
pfSense	192.168.1.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
Tomato Firmware	192.168.1.1	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
VyOS	192.168.0.1 (typical LAN default varies by config)	Router Firmware / OS Platform	Open-source or vendor firmware platform, not a hardware brand
1&1 (Germany)	192.168.178.1	ISP / Telecom-Branded Home Gateway	Germany
A1 Telekom Austria	192.168.2.1	ISP / Telecom-Branded Home Gateway	Austria
ACT Fibernet	192.168.100.1	ISP / Telecom-Branded Home Gateway	India
Airtel Africa	192.168.1.1	ISP / Telecom-Branded Home Gateway	Africa (multi-country)
Airtel Xstream / Airtel Fiber	192.168.1.1	ISP / Telecom-Branded Home Gateway	India
AIS Fibre (Thailand)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Thailand
AT&T (U-verse/Fiber gateways)	192.168.1.254	ISP / Telecom-Branded Home Gateway	North America
au / KDDI	192.168.0.1	ISP / Telecom-Branded Home Gateway	Japan
Bell Canada	192.168.2.1	ISP / Telecom-Branded Home Gateway	North America
Bouygues Telecom (Bbox)	192.168.1.254	ISP / Telecom-Branded Home Gateway	France
BSNL	192.168.1.1	ISP / Telecom-Branded Home Gateway	India
BT (Home Hub / Smart Hub)	192.168.1.254	ISP / Telecom-Branded Home Gateway	UK
Celcom (Malaysia)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Malaysia
CenturyLink	192.168.0.1	ISP / Telecom-Branded Home Gateway	North America
China Mobile	192.168.1.1	ISP / Telecom-Branded Home Gateway	China
China Telecom	192.168.1.1	ISP / Telecom-Branded Home Gateway	China
China Unicom	192.168.1.1	ISP / Telecom-Branded Home Gateway	China
Chunghwa Telecom (HiNet)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Taiwan
Claro (multi-country)	192.168.0.1	ISP / Telecom-Branded Home Gateway	Latin America
Converge ICT	192.168.1.1	ISP / Telecom-Branded Home Gateway	Philippines
Cox Communications	192.168.0.1	ISP / Telecom-Branded Home Gateway	North America
Deutsche Telekom (Speedport)	192.168.2.1	ISP / Telecom-Branded Home Gateway	Germany
Dialog Broadband (Sri Lanka)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Sri Lanka
du (UAE)	192.168.1.1	ISP / Telecom-Branded Home Gateway	UAE
EE (UK)	192.168.1.254	ISP / Telecom-Branded Home Gateway	UK
Eir (Ireland)	192.168.1.254	ISP / Telecom-Branded Home Gateway	Ireland
Entel (Chile/Peru)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Chile/Peru
Etisalat / e& (UAE)	192.168.1.1	ISP / Telecom-Branded Home Gateway	UAE
Excitel	192.168.1.1	ISP / Telecom-Branded Home Gateway	India
FPT Telecom	192.168.1.1	ISP / Telecom-Branded Home Gateway	Vietnam
Free (Freebox)	192.168.0.254	ISP / Telecom-Branded Home Gateway	France
Frontier Communications	192.168.1.1	ISP / Telecom-Branded Home Gateway	North America
Globe Telecom	192.168.254.254	ISP / Telecom-Branded Home Gateway	Philippines
Hathway	192.168.0.1	ISP / Telecom-Branded Home Gateway	India
J:COM	192.168.0.1	ISP / Telecom-Branded Home Gateway	Japan
KPN (Netherlands)	192.168.2.254	ISP / Telecom-Branded Home Gateway	Netherlands
KT (Olleh/GiGA)	172.30.1.254	ISP / Telecom-Branded Home Gateway	South Korea
LG Uplus	192.168.219.1	ISP / Telecom-Branded Home Gateway	South Korea
Liquid Intelligent Technologies	192.168.1.1	ISP / Telecom-Branded Home Gateway	Africa (multi-country)
M1 (Singapore)	192.168.1.254	ISP / Telecom-Branded Home Gateway	Singapore
Maxis (Malaysia)	192.168.1.254	ISP / Telecom-Branded Home Gateway	Malaysia
MEO (Portugal)	192.168.1.254	ISP / Telecom-Branded Home Gateway	Portugal
Movistar (multi-country, LatAm)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Latin America
Movistar / Telefonica (Spain)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Spain
MTN	192.168.8.1	ISP / Telecom-Branded Home Gateway	Africa (multi-country)
NBN Co (device dependent)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Australia
NET / Claro NET (Brazil)	192.168.0.1	ISP / Telecom-Branded Home Gateway	Brazil
NOS (Portugal)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Portugal
NTT (Hikari)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Japan
O2 Germany (Telefonica)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Germany
Oi (Brazil)	10.0.0.1	ISP / Telecom-Branded Home Gateway	Brazil
Ooredoo (multi-country)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Middle East
Optimum / Altice USA	192.168.1.1	ISP / Telecom-Branded Home Gateway	North America
Optus	192.168.0.1	ISP / Telecom-Branded Home Gateway	Australia
Orange (Livebox, France/multi-country)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Europe
Orange Poland	192.168.1.1	ISP / Telecom-Branded Home Gateway	Poland
Play (Poland)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Poland
PLDT Home	192.168.1.1	ISP / Telecom-Branded Home Gateway	Philippines
Plusnet	192.168.1.254	ISP / Telecom-Branded Home Gateway	UK
Proximus (Belgium)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Belgium
Ptcl (Pakistan)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Pakistan
Reliance Jio Fiber	192.168.29.1	ISP / Telecom-Branded Home Gateway	India
Rogers (Canada)	192.168.0.1	ISP / Telecom-Branded Home Gateway	North America
Safaricom	192.168.8.1	ISP / Telecom-Branded Home Gateway	Kenya
SFR (Box)	192.168.1.1	ISP / Telecom-Branded Home Gateway	France
Shaw Communications	10.0.0.1	ISP / Telecom-Branded Home Gateway	North America
Singtel	192.168.1.1	ISP / Telecom-Branded Home Gateway	Singapore
SK Broadband	192.168.35.1 / 192.168.219.1	ISP / Telecom-Branded Home Gateway	South Korea
Sky Broadband	192.168.0.1	ISP / Telecom-Branded Home Gateway	UK
SoftBank	192.168.3.1	ISP / Telecom-Branded Home Gateway	Japan
Spark New Zealand	192.168.1.1	ISP / Telecom-Branded Home Gateway	New Zealand
Spectrum / Charter	192.168.0.1	ISP / Telecom-Branded Home Gateway	North America
StarHub	192.168.0.1	ISP / Telecom-Branded Home Gateway	Singapore
Starlink	192.168.100.1	ISP / Telecom-Branded Home Gateway	Global (satellite)
STC (Saudi Arabia)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Saudi Arabia
Swisscom (Internet-Box)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Switzerland
TalkTalk	192.168.1.1	ISP / Telecom-Branded Home Gateway	UK
Telecom Argentina / Personal	192.168.1.1	ISP / Telecom-Branded Home Gateway	Argentina
Telecom Italia / TIM	192.168.1.1	ISP / Telecom-Branded Home Gateway	Italy
Telenet (Belgium)	192.168.0.1	ISP / Telecom-Branded Home Gateway	Belgium
Telenor	192.168.1.1	ISP / Telecom-Branded Home Gateway	Nordics
Telia	192.168.1.1	ISP / Telecom-Branded Home Gateway	Nordics
Telkom Indonesia (IndiHome)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Indonesia
Telkom SA	192.168.1.254	ISP / Telecom-Branded Home Gateway	South Africa
Telkomsel Orbit	192.168.8.1	ISP / Telecom-Branded Home Gateway	Indonesia
Telmex	192.168.1.254	ISP / Telecom-Branded Home Gateway	Mexico
Telstra (Smart Modem)	10.0.0.138 / 192.168.0.1	ISP / Telecom-Branded Home Gateway	Australia
Telus	192.168.1.254	ISP / Telecom-Branded Home Gateway	North America
Tikona	192.168.1.1	ISP / Telecom-Branded Home Gateway	India
TIM Brasil	192.168.1.1	ISP / Telecom-Branded Home Gateway	Brazil
TM Unifi (Malaysia)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Malaysia
TOT (Thailand)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Thailand
Totalplay (Mexico)	192.168.1.254	ISP / Telecom-Branded Home Gateway	Mexico
TPG (Australia)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Australia
True (Thailand)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Thailand
Turk Telekom	192.168.1.1	ISP / Telecom-Branded Home Gateway	Turkey
Turkcell Superonline	192.168.1.1	ISP / Telecom-Branded Home Gateway	Turkey
Verizon Fios	192.168.1.1	ISP / Telecom-Branded Home Gateway	North America
Viettel	192.168.1.1	ISP / Telecom-Branded Home Gateway	Vietnam
Virgin Media (Hub)	192.168.0.1	ISP / Telecom-Branded Home Gateway	UK
Vivo (Brazil, Telefonica)	192.168.15.1	ISP / Telecom-Branded Home Gateway	Brazil
VNPT	192.168.1.1	ISP / Telecom-Branded Home Gateway	Vietnam
Vodacom	192.168.1.1	ISP / Telecom-Branded Home Gateway	Africa (multi-country)
Vodafone (Station/Germany & multi-country)	192.168.1.1 / 192.168.0.1	ISP / Telecom-Branded Home Gateway	Europe
Vodafone / One NZ	192.168.1.1	ISP / Telecom-Branded Home Gateway	New Zealand
Vodafone Italy	192.168.1.1	ISP / Telecom-Branded Home Gateway	Italy
VTR (Chile)	192.168.0.1	ISP / Telecom-Branded Home Gateway	Chile
Windstream	192.168.0.1 / 192.168.254.254	ISP / Telecom-Branded Home Gateway	North America
WOM (Chile)	192.168.1.1	ISP / Telecom-Branded Home Gateway	Chile
Xfinity / Comcast	10.0.0.1	ISP / Telecom-Branded Home Gateway	North America
XL Axiata	192.168.1.1	ISP / Telecom-Branded Home Gateway	Indonesia
Xplornet	192.168.0.1	ISP / Telecom-Branded Home Gateway	North America
You Broadband	192.168.1.1	ISP / Telecom-Branded Home Gateway	India
Ziggo (Netherlands)	192.168.178.1	ISP / Telecom-Branded Home Gateway	Netherlands
Broadcom	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
Cortina Systems	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
HiSilicon (Huawei)	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
MaxLinear	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
MediaTek	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
Qualcomm Atheros	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above
Realtek	N/A — silicon/chipset vendor, not a router brand	Router Chipset / Silicon Vendor (not a router brand itself)	Supplies chips used inside many of the brands above

