Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1aSfk5kGRoA_1Vwuk0YP-78fX2zdCPrg6hOMJE0GDYxQ/export?format=csv&gid=119752031

---

Brand,Country of origin,Region,Parent company / owner,Segment(s),Category,Status,Notes
Arris International,USA,North America,"Split: Home Networks to Vantiva (2024), remainder to Vistance/Amphenol (2026)",Legacy ISP CPE; Cable,ISP CPE / broadband gateway,Brand retained,"Cable CPE and set-top giant; bought by CommScope 2019, then broken up"
Arris SURFboard,USA,North America,Vantiva,Retail cable modem-router,ISP CPE / broadband gateway,Active,Retail cable gateway brand; moved to Vantiva with CommScope Home Networks in 2024
Aruba Instant On,USA,North America,HPE Aruba Networking,SMB Wi-Fi; Switching,SMB / prosumer,Active,HPE's cloud-managed small-business sub-brand
Aruba Networks,USA,North America,HPE (2015),Enterprise WLAN,Enterprise / SD-WAN,Brand retained,Now HPE Aruba Networking
Aryaka Networks,USA,North America,Independent,SD-WAN; SASE,Enterprise / SD-WAN,Active,Managed unified SASE/SD-WAN with private backbone
Arçelik,Turkey,Middle East & Africa,Koç Holding,Consumer electronics,Consumer / retail,Brand-only,Turkish appliance giant with limited gateway ventures
Ascend Communications,USA,North America,Lucent (1999),Legacy access routers,Legacy / acquired,Defunct,MAX and TNT remote access concentrators
Askey,Taiwan,Asia-Pacific,Independent (Asus-linked),ODM / ISP CPE,ODM / white-label,Active,Taiwanese ODM for ISP gateways and 5G FWA
Asus,Taiwan,Asia-Pacific,Independent (TWSE: 2357),Consumer Wi-Fi; Gaming; Mesh,Consumer / retail,Active,Major Taiwanese PC maker with one of the widest router lineups
AsusWRT-Merlin,Canada,North America,Community (Eric Sauvageau),Open-source firmware,Enterprise / SD-WAN,Active,Enhanced fork of Asus stock firmware
AT&T BGW gateways,USA,North America,AT&T,ISP CPE,ISP CPE / broadband gateway,Brand-only,AT&T fibre/DSL gateways from Arris and Humax
Atop Technologies,Taiwan,Asia-Pacific,Independent,Industrial,Industrial / IoT,Active,Industrial networking and gateway devices
Aurora Networks,USA,North America,Vistance Networks,Cable access,Other,Active,Rebranded Access Network Solutions unit of the former CommScope
Avaya Networking,USA,North America,Extreme Networks (2017),Legacy enterprise,Legacy / acquired,Acquired,Ex-Nortel ERS campus lines
Aviatrix,USA,North America,Independent,Cloud / virtual router,Enterprise / SD-WAN,Active,Multi-cloud transit and network software
Avici Systems,USA,North America,Dissolved,Legacy SP core,Legacy / acquired,Defunct,"Early 2000s core router pioneer, became Soapstone"
AVM (FRITZ!Box),Germany,Europe,Independent,DSL/Fiber CPE; Consumer Wi-Fi; Mesh,ISP CPE / broadband gateway,Active,Germany's leading retail + ISP router brand; FRITZ!Box line
Axiomtek,Taiwan,Asia-Pacific,Independent,Industrial; IoT,Industrial / IoT,Active,Embedded edge gateways and industrial routers
Aztech,Singapore,Asia-Pacific,Independent,Consumer; DSL/Fiber CPE,ISP CPE / broadband gateway,Active,"Singaporean networking brand, strong regionally"
Baicells Technologies,China / USA,Asia-Pacific,Independent,Private LTE/5G; WISP CPE,ISP CPE / broadband gateway,Active,Private-network base stations plus subscriber CPE routers
Banana Pi,China,Asia-Pacific,SinoVoip,SBC / DIY router boards,Other,Active (niche),Single-board computers widely used as OpenWrt routers
Barracuda Networks,USA,North America,KKR,SD-WAN; SASE; SMB,Enterprise / SD-WAN,Active,SecureEdge and CloudGen WAN appliances
BATM Advanced Communications,Israel,Middle East & Africa,Independent (LSE: BVC),Carrier Ethernet,Service provider,Active,Parent of Telco Systems
Bay Networks,USA,North America,Nortel (1998),Legacy enterprise,Legacy / acquired,Defunct,Formed 1994 from Wellfleet + SynOptics; absorbed by Nortel
BDCOM (Bitway),China,Asia-Pacific,Independent,SP access; Aggregation,Service provider,Active,"Access and aggregation networking equipment, OLTs"
Beetel Teletech,India,Asia-Pacific,Independent (ex-Bharti),DSL/Fiber CPE,ISP CPE / broadband gateway,Active,Legacy Indian telecom device brand
Belden,USA,North America,Independent (NYSE: BDC),Industrial,Industrial / IoT,Active,Parent of Hirschmann and GarrettCom
Belkin,USA,North America,Foxconn Interconnect Technology,Consumer Wi-Fi; Accessories,Consumer / retail,Active (reduced),Router line largely wound down; Linksys was divested to Fortinet
Bell Home Hub,Canada,North America,BCE Inc.,ISP CPE,ISP CPE / broadband gateway,Brand-only,Canadian telco's branded fibre and DSL gateway
Big Switch Networks,USA,North America,Arista Networks,Whitebox NOS,Data centre / disaggregated / silicon,Brand retired,SDN/whitebox NOS absorbed into Arista 2020
Billion Electric,Taiwan,Asia-Pacific,Independent,DSL/Fiber CPE; Industrial,ISP CPE / broadband gateway,Active (niche),Taiwanese DSL/VDSL router brand
Binatone,UK / India,Europe,Binatone Global,Consumer; ISP CPE,ISP CPE / broadband gateway,Active,UK-origin brand with a strong Indian CPE presence
bintec elmeg,Germany,Europe,Teldat Group,Enterprise branch; SMB,Enterprise / SD-WAN,Active,German brand owned by Spain's Teldat
Bitdefender BOX,Romania,Europe,Bitdefender,Security router,Consumer / retail,Defunct,Smart-home security appliance; hardware line retired
Bivocom,China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,4G/5G IoT routers and gateways
Bkav,Vietnam,Asia-Pacific,Independent,Consumer; Security,Consumer / retail,Active (niche),Vietnamese tech firm with networking products
BLIiot,China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,4G IoT industrial routers
Blue Sky Network,USA,North America,Independent,Satellite; Aviation; Marine,Specialised (military / satellite / mobility),Active,Iridium and Inmarsat router terminals
Bouygues Bbox,France,Europe,Bouygues Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,French ISP branded gateway
Broadcom,USA,North America,Independent (NASDAQ: AVGO),Router and switch silicon,Data centre / disaggregated / silicon,Active,The dominant silicon behind most consumer and DC routers
Brocade Communications,USA,North America,Broadcom (2017),Legacy SP and DC,Legacy / acquired,Brand retired,IP networking sold on to Extreme and Arris
BSNL CPE,India,Asia-Pacific,Bharat Sanchar Nigam (Government of India),ISP CPE,ISP CPE / broadband gateway,Brand-only,State telecom's branded ONT-routers for FTTH broadband
BT Smart Hub,UK,Europe,BT Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,UK's most-deployed home router line
Buffalo,Japan,Asia-Pacific,Melco Holdings,Consumer Wi-Fi; NAS,Consumer / retail,Active,Leading Japanese retail Wi-Fi router brand (AirStation)
Bulat (OPK Bulat),Russia,Russia & CIS,Rostec (state),Enterprise; SP,Enterprise / SD-WAN,Active,State-backed import-substitution networking vendor
ByteDance,China,Asia-Pacific,ByteDance,Cloud DC in-house,Data centre / disaggregated / silicon,Active,Custom whitebox datacentre networking
C-DOT,India,Asia-Pacific,Government of India,R&D; SP routing,Other,Active,State telecom R&D body designing indigenous routers
Cabletron Systems,USA,North America,Split 2001,Legacy enterprise,Legacy / acquired,Defunct,"Split into Enterasys, Riverstone, Aprisma and GlobalNetwork"
Caimore,China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,Industrial cellular router manufacturer
CalAmp,USA,North America,Independent,Telematics; Vehicle,Specialised (military / satellite / mobility),Active (distressed),Telematics-focused cellular gateways
Calix,USA,North America,Independent (NYSE: CALX),SP access; ISP CPE,ISP CPE / broadband gateway,Active,Broadband systems and GigaSpire gateways for US ISPs
Cambium Networks,USA,North America,"Independent (delisted from Nasdaq, March 2026; trades OTC)",WISP; Enterprise,Enterprise / SD-WAN,Active (distressed),Fixed wireless plus cnMatrix/cnPilot routing gear; delisted from Nasdaq in March 2026
Casa Systems,USA,North America,Liquidated 2024,BNG; CCAP; FWA,Cellular / 5G / mobile,Defunct,"Chapter 11 in April 2024; cable assets to CommScope, NetComm Wireless to DZS for $7m"
Caspian Networks,USA,North America,Wound down 2006,Legacy SP core,Legacy / acquired,Defunct,Flow-based routing startup
Cato Networks,Israel,Middle East & Africa,Independent,SD-WAN; SASE,Enterprise / SD-WAN,Active,Cloud-native SASE platform with its own PoP backbone
Celestica,Canada,North America,Independent (NYSE: CLS),Whitebox ODM,ODM / white-label,Active,Datacentre and SP whitebox hardware
Centec Networks,China,Asia-Pacific,Independent,Whitebox silicon and switch-routers,Data centre / disaggregated / silicon,Active,Merchant-silicon whitebox vendor
Century Systems,Japan,Asia-Pacific,Independent,SMB; Industrial; Cellular,Industrial / IoT,Active,FutureNet LTE/5G branch and industrial routers
Ceragon Networks,Israel,Middle East & Africa,Independent,Microwave backhaul (adjacent),Other,Active,Wireless backhaul with integrated IP routing
Check Point Software,Israel,Middle East & Africa,Independent (NASDAQ: CHKP),Enterprise branch; SD-WAN,Enterprise / SD-WAN,Active,Quantum gateways with SD-WAN routing
Chiaro Networks,USA,North America,Wound down c.2006,Legacy SP core,Legacy / acquired,Defunct,Optical-switch-fabric terabit router startup
China Broadnet CPE,China,Asia-Pacific,China Broadcasting Network (state),ISP CPE; 5G CPE,ISP CPE / broadband gateway,Brand-only,China's newest state broadband and 5G operator's branded CPE
China Mobile CPE,China,Asia-Pacific,China Mobile,ISP CPE,ISP CPE / broadband gateway,Brand-only,Carrier-branded gateways from domestic ODMs
China Unicom CPE,China,Asia-Pacific,China Unicom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Carrier-branded gateways from domestic ODMs
Chunghwa Telecom (HiNet) CPE,Taiwan,Asia-Pacific,Chunghwa Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Taiwan's largest telco branded fibre gateway
Ciena,USA,North America,Independent (NYSE: CIEN),Packet-optical; SP routing,Service provider,Active,5000 series routers plus WaveLogic optical
Cisco Catalyst IR / IE,USA,North America,Cisco Systems,Industrial; Utility/SCADA,Industrial / IoT,Active,"IR1101, IR1800, IR8340 rugged routers"
Cisco Meraki,USA,North America,Cisco Systems,SD-WAN; Enterprise branch,Enterprise / SD-WAN,Active,Cloud-managed MX security/SD-WAN appliances; acquired 2012
Cisco Systems,USA,North America,Independent (NASDAQ: CSCO),Enterprise branch; SP edge; SP core; Data centre; Industrial,Industrial / IoT,Active,"Largest full-line router vendor; ISR, ASR, NCS, Catalyst 8000, 8000 series"
Cisco Viptela,USA,North America,Cisco Systems,SD-WAN,Enterprise / SD-WAN,Brand retired,Acquired 2017; now sold as Cisco Catalyst SD-WAN
Citrix SD-WAN,USA,North America,Cloud Software Group,SD-WAN,Enterprise / SD-WAN,Active,Ex-CloudBridge enterprise WAN edge
Claro CPE,Colombia / LatAm,Latin America,América Móvil,ISP CPE,ISP CPE / broadband gateway,Brand-only,Regional operator branded router/ONT
CloudGenix,USA,North America,Palo Alto Networks,SD-WAN,Enterprise / SD-WAN,Brand retired,Became Prisma SD-WAN
Cobham SATCOM,Denmark,Europe,Solix Group ApS (Denmark),Marine; Aviation; Satellite,Specialised (military / satellite / mobility),Active,SAILOR and EXPLORER satcom routers; sold by Cobham Group to Solix in August 2025
Colubris Networks,Canada,North America,HP (2008),Legacy enterprise WLAN,Legacy / acquired,Defunct,Wireless networking vendor
Comfast,China,Asia-Pacific,Independent,Prosumer Wi-Fi,SMB / prosumer,Active,Chinese Wi-Fi hardware export brand
Compal Broadband Networks,Taiwan,Asia-Pacific,Compal Electronics,ODM / ISP CPE,ODM / white-label,Active,Cable/DSL CPE ODM arm
Compex Systems,Singapore,Asia-Pacific,Independent,Prosumer; Wi-Fi modules; Industrial,Industrial / IoT,Active (niche),Singapore-based Wi-Fi hardware brand
Comtrend,Taiwan,Asia-Pacific,Independent,DSL/Fiber CPE,ISP CPE / broadband gateway,Active,"Taiwanese DSL/CPE brand, common in US ISP channels"
Conceptronic,Netherlands,Europe,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Benelux value networking brand
Contec,Japan,Asia-Pacific,Independent,IoT; Industrial,Industrial / IoT,Active,Edge computing and IoT gateway routers
Converge ICT,Philippines,Asia-Pacific,Converge ICT Solutions,ISP CPE,ISP CPE / broadband gateway,Brand-only,Philippine ISP branded fibre gateway
Coral Telecom,India,Asia-Pacific,Independent,Enterprise; SMB,Enterprise / SD-WAN,Active,Indian VoIP and networking equipment maker
Corega,Japan,Asia-Pacific,Allied Telesis (brand),Consumer Wi-Fi,Consumer / retail,Legacy,Legacy Japanese consumer networking brand
Coriant,Germany,Europe,Infinera / Nokia,Optical transport,Service provider,Brand retired,"Ex-Nokia Siemens unit, folded into Infinera 2018"
Corriente Networks,USA,North America,Cisco (2004),Legacy routing technology,Legacy / acquired,Defunct,Router technology startup
Coship,China,Asia-Pacific,Independent,ISP CPE; STB,ISP CPE / broadband gateway,Active (niche),Chinese gateway/set-top maker
Cosmote / OTE CPE,Greece,Europe,Deutsche Telekom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Greek telco branded router
COVR,Taiwan,Asia-Pacific,D-Link,Mesh,Consumer / retail,Active,Sub-brand: D-Link's mesh Wi-Fi line
Cox Panoramic Wifi,USA,North America,Cox Communications,ISP CPE; Mesh,ISP CPE / broadband gateway,Brand-only,Cox branded mesh gateway system
Cradlepoint,USA,North America,Ericsson,5G; Cellular 5G; Public safety; Vehicle; Wireless WAN branch,Specialised (military / satellite / mobility),Active,Leading 4G/5G branch and public-safety routers; Ericsson-owned since 2020
Cudy,China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,"Newer Chinese budget Wi-Fi brand, strong on Amazon"
Cumulus Networks,USA,North America,Nvidia,Whitebox NOS,Data centre / disaggregated / silicon,Brand absorbed,Cumulus Linux; acquired by Nvidia 2020
Curtiss-Wright (Parvus),USA,North America,Curtiss-Wright (NYSE: CW),Military; Vehicle,Specialised (military / satellite / mobility),Active,DuraMAR rugged mobile access routers
Cyan Inc.,USA,North America,Ciena (2015),Legacy packet-optical,Legacy / acquired,Brand retired,Packet-optical and SDN vendor
CyberTAN Technology,Taiwan,Asia-Pacific,Independent,ODM,ODM / white-label,Active,"Long-time ODM for Linksys, Netgear and others"
D-Link,Taiwan,Asia-Pacific,Independent (TWSE: 2332),Consumer Wi-Fi; Mesh; DSL/Fiber CPE; SMB; 5G,ISP CPE / broadband gateway,Active,Major Taiwanese consumer + SMB networking brand
D-Link India,India,Asia-Pacific,D-Link Corporation (Taiwan),Regional consumer / SMB,SMB / prosumer,Active,Listed Indian JV assembling and distributing D-Link products
DANOS,USA,North America,Linux Foundation Networking (originated at AT&T),Open NOS,Data centre / disaggregated / silicon,Active,AT&T-originated disaggregated NOS
DASAN Network Solutions,South Korea,Asia-Pacific,Independent,SP access,Service provider,Active,Korean access networking vendor
Datacom,Brazil,Latin America,Independent,SP; Enterprise; OLT,Enterprise / SD-WAN,Active,Major Brazilian router and access equipment maker
Datto Networking,USA,North America,Kaseya,SMB; MSP networking,SMB / prosumer,Active,MSP-focused cloud-managed networking hardware
Davolink,South Korea,Asia-Pacific,Independent,ODM; ISP CPE,ODM / white-label,Active,"Korean CPE maker for KT, SK Broadband and export"
DD-WRT,Germany,Europe,NewMedia-NET GmbH,Open-source firmware,Enterprise / SD-WAN,Active,Long-running third-party router firmware
Deciso (OPNsense),Netherlands,Europe,Independent,Virtual router; SMB firewall,Enterprise / SD-WAN,Active,Open-source firewall/router distribution and appliances
Deco,China,Asia-Pacific,TP-Link,Mesh,Consumer / retail,Active,Sub-brand: TP-Link's whole-home mesh Wi-Fi line
Dell Networking / Dell EMC Networking,USA,North America,Dell Technologies,Data centre; Campus,Data centre / disaggregated / silicon,Active,"PowerSwitch line, largely whitebox-friendly"
Delta Networks / Delta Electronics,Taiwan,Asia-Pacific,Delta Electronics,Whitebox ODM,ODM / white-label,Active,ODM hardware partner for disaggregated routing
Deutsche Telekom Speedport,Germany,Europe,Deutsche Telekom,ISP CPE,ISP CPE / broadband gateway,Brand-only,"Germany's biggest ISP router line, built by Arcadyan and others"
Digi (RCS&RDS) CPE,Romania,Europe,Digi Communications,ISP CPE,ISP CPE / broadband gateway,Brand-only,Romanian ISP branded router/ONT
Digi International,USA,North America,Independent (NASDAQ: DGII),Branch; Cellular; Industrial; IoT,Industrial / IoT,Active,TransPort and Digi IX/EX routers; owns Opengear
DIGISOL,India,Asia-Pacific,Smartlink Network Systems,Consumer; SMB; FTTH CPE,ISP CPE / broadband gateway,Active,Long-running Indian networking brand
Digital China Networks (DCN),China,Asia-Pacific,Digital China Group,Enterprise; SP,Enterprise / SD-WAN,Active,DCN-branded routers and switches
DPtech (Hangzhou DPtech),China,Asia-Pacific,Neusoft-linked,Enterprise security routing,Enterprise / SD-WAN,Active,Security-plus-routing convergence vendor
Dragino Technology,China,Asia-Pacific,Independent,LoRaWAN; IoT,Industrial / IoT,Active,LoRaWAN gateways and edge IoT routers
DrayTek,Taiwan,Asia-Pacific,Independent,SMB; SOHO; DSL/Fiber CPE,ISP CPE / broadband gateway,Active,Vigor series; strong VPN/multi-WAN following in EU and SE Asia
DriveNets,Israel,Middle East & Africa,Independent,SP core; Disaggregated routing,Service provider,Active,Network Cloud DDC used by AT&T and others
du CPE,UAE,Middle East & Africa,EITC (du),ISP CPE,ISP CPE / broadband gateway,Brand-only,UAE telco branded home gateways
DZS Inc.,USA / South Korea,North America,Independent,SP access; BNG; FWA CPE,Cellular / 5G / mobile,Active,DASAN + Zhone merger; bought NetComm Wireless out of Casa's bankruptcy in 2024
e& / Etisalat CPE,UAE,Middle East & Africa,e& (Etisalat Group),ISP CPE,ISP CPE / broadband gateway,Brand-only,UAE telco branded home gateways
E-Lins Technology,China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,Rugged mobile and industrial cellular routers
Eaton,Ireland / USA,Europe,Independent,Utility/SCADA,Industrial / IoT,Active,Grid automation communication devices
ECI Telecom,Israel,Middle East & Africa,Ribbon Communications,Optical; Packet transport,Service provider,Brand retired,Merged into Ribbon c.2020
Edgecore Networks,Taiwan,Asia-Pacific,Accton Technology,Whitebox switch-routers,Data centre / disaggregated / silicon,Active,Leading open networking hardware brand
Edimax,Taiwan,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Taiwanese budget Wi-Fi brand
eero,USA,North America,Amazon,Mesh,Consumer / retail,Active,Mesh Wi-Fi pioneer; acquired by Amazon 2019; large ISP channel
Efficient Networks,USA,North America,Siemens (2001),Legacy DSL CPE,Legacy / acquired,Defunct,SpeedStream DSL CPE
eir CPE,Ireland,Europe,eir,ISP CPE,ISP CPE / broadband gateway,Brand-only,Irish incumbent branded router
Elecom,Japan,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,"Japanese peripherals brand, budget/mid routers; owns Logitec"
Eltex,Russia,Russia & CIS,Independent,Enterprise; SP access; ISP CPE; Industrial,ISP CPE / broadband gateway,Active,Russia's broadest domestic networking line
Encore Electronics,USA,North America,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Budget US networking brand
Encore Networks,USA,North America,Independent,Cellular; Industrial,Industrial / IoT,Active (niche),US cellular and VSAT router maker
EnGenius,Taiwan,Asia-Pacific,Independent (Senao Networks),Prosumer; SMB; Wi-Fi,SMB / prosumer,Active,Spans consumer to SMB/managed Wi-Fi
Enterasys Networks,USA,North America,Extreme Networks (2013),Legacy enterprise,Legacy / acquired,Acquired,Cabletron spinoff
Ericsson,Sweden,Europe,Independent (NASDAQ: ERIC),Mobile transport; Enterprise WWAN,Service provider,Active,Router 6000 mobile transport line; exited SmartEdge IP routers c.2017
Eurotech,Italy,Europe,Independent (BIT: ETH),IoT edge,Industrial / IoT,Active,ReliaGATE IoT edge gateways
eWON,Belgium,Europe,HMS Networks,Industrial; Remote access,Industrial / IoT,Active,VPN remote-access industrial routers
Extreme Engineering Solutions (X-ES),USA,North America,Independent,Military; Embedded,Specialised (military / satellite / mobility),Active,XPand rugged embedded routers and switches
Extreme Networks,USA,North America,Independent (NASDAQ: EXTR),Enterprise campus/branch; SD-WAN,Enterprise / SD-WAN,Active,"Absorbed Enterasys, Avaya Networking and Brocade's campus/DC lines"
F-Secure SENSE,Finland,Europe,WithSecure / F-Secure,Security router,Consumer / retail,Defunct,Security router reached end-of-sale
FAST (迅捷 / Melogic),China,Asia-Pacific,TP-Link,Consumer Wi-Fi,Consumer / retail,Active,China-domestic budget router sub-brand
Fastweb CPE,Italy,Europe,Swisscom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Italian ISP branded gateway
FatPipe Networks,USA,North America,Independent,SD-WAN,Enterprise / SD-WAN,Active,"Early SD-WAN/WAN-bonding pioneer, still independent"
FiberHome Networks,China,Asia-Pacific,China Information & Communication Technologies Group (state),SP edge; Optical; ISP CPE,ISP CPE / broadband gateway,Active,Optical transport plus IP routing and ONT CPE
Firewalla,USA,North America,Independent,Security router,Consumer / retail,Active (niche),Smart firewall/router appliance
Fon Wireless,Spain / UK,Europe,Independent,Community Wi-Fi,Consumer / retail,Dormant,"Pioneering Wi-Fi-sharing router brand, largely inactive"
